# Parameters for CFA in order red, green, blue
# -35.0077	-44.1774	22.9231	20.9813	4.04281	-7.25622
# 25.6259	-16.6805	-39.6175	2.0237	16.2731	-4.55676
# 37.3915	32.2064	-50	-49.0131	25.8976	-3.4397
# Lambda	Red	Green	Blue
764	0.000280826	0.00105171	0.00241247
765	0.000271717	0.00103838	0.0024937
766	0.000262944	0.00102534	0.00258117
767	0.000254493	0.00101258	0.00267553
768	0.00024635	0.0010001	0.00277752
769	0.000238504	0.000987886	0.00288797
770	0.000230941	0.000975939	0.00300785
771	0.00022365	0.000964249	0.00313825
772	0.000216621	0.000952811	0.00328045
773	0.000209843	0.00094162	0.00343592
774	0.000203305	0.000930669	0.00360638
775	0.000196999	0.000919954	0.00379384
776	0.000190914	0.000909469	0.00400066
777	0.000185043	0.000899209	0.00422962
778	0.000179377	0.000889169	0.00448407
779	0.000173908	0.000879345	0.00476797
780	0.000168628	0.000869731	0.00508612
